279646,702,NG12,1AA,5.0000,10.0000,2022-07-19 08:25:43.2370000
279647,702,NG12,1AB,5.0000,10.0000,2022-07-19 08:25:43.2370000
279648,702,NG12,1AD,5.0000,10.0000,2022-07-19 08:25:43.2370000
279649,702,NG12,1AE,5.0000,10.0000,2022-07-19 08:25:43.2370000
279650,702,NG12,1AF,5.0000,10.0000,2022-07-19 08:25:43.2370000
279651,702,NG12,1AG,5.0000,10.0000,2022-07-19 08:25:43.2370000
279652,702,NG12,1AH,5.0000,10.0000,2022-07-19 08:25:43.2370000
279653,702,NG12,1AJ,5.0000,10.0000,2022-07-19 08:25:43.2370000
279654,702,NG12,1AL,5.0000,10.0000,2022-07-19 08:25:43.2370000
279655,702,NG12,1AN,5.0000,10.0000,2022-07-19 08:25:43.2370000
279656,702,NG12,1AP,5.0000,10.0000,2022-07-19 08:25:43.2370000
279657,702,NG12,1AQ,5.0000,10.0000,2022-07-19 08:25:43.2370000
279658,702,NG12,1AR,5.0000,10.0000,2022-07-19 08:25:43.2370000
279659,702,NG12,1AS,5.0000,10.0000,2022-07-19 08:25:43.2370000
279660,702,NG12,1AT,5.0000,10.0000,2022-07-19 08:25:43.2370000
279661,702,NG12,1AU,5.0000,10.0000,2022-07-19 08:25:43.2370000
279662,702,NG12,1AW,5.0000,10.0000,2022-07-19 08:25:43.2370000
279663,702,NG12,1AX,5.0000,10.0000,2022-07-19 08:25:43.2370000
279664,702,NG12,1AY,5.0000,10.0000,2022-07-19 08:25:43.2370000
279665,702,NG12,1AZ,5.0000,10.0000,2022-07-19 08:25:43.2370000
279666,702,NG12,1BA,5.0000,10.0000,2022-07-19 08:25:43.2370000
279667,702,NG12,1BB,5.0000,10.0000,2022-07-19 08:25:43.2370000
279668,702,NG12,1BD,5.0000,10.0000,2022-07-19 08:25:43.2370000
279669,702,NG12,1BE,5.0000,10.0000,2022-07-19 08:25:43.2370000
279670,702,NG12,1BG,5.0000,10.0000,2022-07-19 08:25:43.2370000
